Checked,Tags,Name,Calc. MW,RT [min],Reference m/z,Avg TIC,Calculated RI,# Adducts,MS2,MS Depth,Sample1,Sample2,blank_10,Sample49,Sample50,Sample51,Sample52,Sample55,Sample57,blank_11,Sample58,Sample59,blank_12,Sample71,blank_13,Sample77,Sample78,Sample79,Sample80,Sample81,blank_14,Sample84,blank_15,Sample87,Sample88,Sample90,Sample91,blank_1,Sample3,Sample4,Sample5,Sample6,Sample7,blank_2,Sample10,Sample12,Sample14,Sample15,blank_3,Sample19,blank_4,Sample23,blank_5,Sample27,Sample28,blank_6,Sample37,Sample38,Sample40,blank_7,Sample44,blank_8,Sample46,blank_9,QC_1,QC_2,QC_3,QC_4,QC_8,QC_9,QC_10,QC_11,QC_12,QC_13,QC_14,QC_15,QC_5,QC_6,QC_7,tracers_1,tracers_2,tracers_3,tracers_4,tracers_5
False,,,176.15695,4.775,70.0779,2438102,,1,No MS2,1,3599.0,21593.0,57313.0,1748.0,890753.0,4123.0,42937.0,9424.0,2709.0,2286.0,126186.0,7611508.0,82825.0,2314.0,35270.0,598813.0,1177.0,588411.0,577820.0,344051.0,438753.0,204146.0,189647.0,1052803.0,1293589.0,532839.0,3099777.0,121954.0,2839358.0,374181.0,3654.0,10604.0,44240.0,9038.0,16941.0,2524.0,7308.0,13991.0,2875.0,17012.0,14706.0,109429.0,140299.0,221763.0,11232.0,14353.0,42785.0,18338.0,189176.0,51777.0,69100.0,14823.0,10397.0,55061.0,91266.0,357973.0,50043.0,6867.0,8064.0,21811.0,2696.0,5141.0,10500.0,47357.0,6128.0,9537.0,109550.0,33530.0,139288.0,93343556.0,75776188.0,35455202.0,11874676.0,5542376.0
False,,,84.02126,4.775,53.03855,286881,,2,No MS2,1,1544.0,5588.0,2420.0,720.0,167615.0,1302.0,7445.0,4975.0,1423.0,,1793.0,215016.0,5235.0,634.0,3849.0,42535.0,831.0,145234.0,110704.0,85039.0,61424.0,43510.0,32099.0,84940.0,126276.0,82155.0,243679.0,29155.0,238460.0,60522.0,3731.0,3453.0,5175.0,4719.0,2604.0,1023.0,4484.0,4570.0,1331.0,9366.0,3149.0,40326.0,31241.0,56837.0,1475.0,1748.0,5304.0,4383.0,21124.0,7564.0,17099.0,2525.0,1566.0,6131.0,9901.0,14540.0,7519.0,4153.0,1965.0,2380.0,1570.0,1689.0,3399.0,3683.0,1400.0,4040.0,4678.0,1855.0,9013.0,5383150.0,3569454.0,1401179.0,313119.0,252905.0
False,,,66.04702,4.775,109.10135,228563,,3,No MS2,1,21074.0,76843.0,44989.0,7424.0,1037554.0,51360.0,244106.0,76080.0,29395.0,24595.0,41079.0,14798.0,34087.0,,129747.0,73300.0,31744.0,77195.0,81837.0,89585.0,61840.0,74163.0,74070.0,95970.0,142137.0,134039.0,440125.0,231877.0,167387.0,58542.0,69928.0,96808.0,18600.0,48628.0,37004.0,11554.0,64815.0,30595.0,4158.0,36622.0,39836.0,39506.0,226807.0,469356.0,10135.0,17201.0,154947.0,107243.0,109314.0,25777.0,209585.0,39587.0,26652.0,26350.0,31675.0,178121.0,67906.0,105409.0,14495.0,91451.0,34119.0,47775.0,49296.0,149435.0,46824.0,94423.0,57742.0,68409.0,68728.0,9548189.0,,,,21793.0
False,,,104.06275,4.775,70.0778,1747908,,2,No MS2,1,3599.0,21593.0,57313.0,1748.0,890753.0,4123.0,42937.0,9424.0,2709.0,2286.0,126186.0,7611508.0,82825.0,2314.0,35270.0,598813.0,1177.0,588411.0,577820.0,344051.0,438753.0,204146.0,189647.0,1052803.0,1293589.0,532839.0,3099777.0,121954.0,2839358.0,374181.0,3654.0,10604.0,44240.0,9038.0,16941.0,2524.0,7308.0,13991.0,2875.0,17012.0,14706.0,109429.0,140299.0,221763.0,11232.0,14353.0,42785.0,18338.0,189176.0,51777.0,69100.0,14823.0,10397.0,55061.0,91266.0,357973.0,50043.0,6867.0,8064.0,21811.0,,,10500.0,47357.0,6128.0,9537.0,109550.0,33530.0,139288.0,93343556.0,75776188.0,,11874676.0,5542376.0
False,,,122.10961,4.775,109.1013,178188,,3,No MS2,1,21074.0,76843.0,44989.0,7424.0,1037554.0,51360.0,244106.0,76080.0,29395.0,24595.0,41079.0,14798.0,34087.0,11316.0,129747.0,73300.0,,77195.0,81837.0,89585.0,61840.0,74163.0,74070.0,95970.0,142137.0,134039.0,440125.0,231877.0,167387.0,58542.0,69928.0,96808.0,18600.0,48628.0,37004.0,11554.0,64815.0,30595.0,4158.0,36622.0,39836.0,39506.0,226807.0,469356.0,10135.0,17201.0,154947.0,107243.0,109314.0,25777.0,209585.0,39587.0,26652.0,26350.0,31675.0,178121.0,67906.0,105409.0,14495.0,91451.0,34119.0,47775.0,49296.0,149435.0,46824.0,94423.0,57742.0,68409.0,68728.0,9548189.0,,,33874.0,21793.0
False,,,82.0784,4.777,67.05434,12537114,,5,No MS2,1,26708.0,153128.0,108307.0,10777.0,5165100.0,62086.0,251876.0,108737.0,29916.0,27504.0,113217.0,1289663.0,95739.0,10144.0,372754.0,195084.0,7413.0,802304.0,380622.0,243991.0,200222.0,11038.0,129646.0,304158.0,585741.0,311285.0,1036431.0,751818.0,851285.0,208230.0,106398.0,112606.0,80326.0,82521.0,47715.0,33897.0,108132.0,129963.0,10424.0,83089.0,66881.0,600840.0,949563.0,1710652.0,31449.0,21664.0,303027.0,117652.0,159923.0,33409.0,547778.0,38295.0,31758.0,32188.0,114283.0,420603.0,83937.0,77603.0,23874.0,127897.0,28088.0,55739.0,54576.0,304225.0,48585.0,63625.0,152010.0,83768.0,151393.0,49118174.0,21901710.0,,1836565.0,979759.0
False,,,81.06607,4.778,110.10471,14885,,2,No MS2,1,1223.0,6468.0,2344.0,1240.0,85387.0,3664.0,13447.0,6340.0,1717.0,1963.0,4855.0,,3019.0,2906.0,13067.0,6257.0,,4317.0,4247.0,7454.0,5403.0,7133.0,5261.0,6430.0,9687.0,12522.0,33798.0,21697.0,9628.0,3344.0,1280.0,5231.0,616.0,3184.0,2310.0,1085.0,5199.0,,1277.0,,4204.0,2466.0,18724.0,40809.0,1179.0,1240.0,13562.0,5071.0,9584.0,2080.0,17470.0,2945.0,2836.0,1724.0,6709.0,14389.0,2971.0,7089.0,416.0,6277.0,3077.0,3930.0,3527.0,12966.0,2610.0,3857.0,5653.0,6105.0,3988.0,,,,,
False,,,116.06275,4.781,145.10133,67066,,2,No MS2,1,2113.0,10122.0,5062.0,2370.0,3963.0,4385.0,15898.0,8321.0,1731.0,657.0,4530.0,,6962.0,1673.0,806.0,4394.0,1724.0,7238.0,4190.0,5842.0,1942.0,3080.0,2926.0,6471.0,9306.0,5160.0,5093.0,1320.0,3620.0,3050.0,5030.0,5134.0,7078.0,4882.0,2186.0,2613.0,7773.0,10634.0,1155.0,3585.0,3993.0,5177.0,1596.0,1543.0,1907.0,1896.0,873.0,1900.0,8306.0,5943.0,2995.0,1807.0,1873.0,2977.0,3500.0,5884.0,2798.0,6287.0,1587.0,5219.0,1781.0,4008.0,2028.0,10671.0,3825.0,11487.0,4766.0,5822.0,10576.0,,,,,
False,,,96.09421,4.783,55.05428,3375335,,2,No MS2,1,10840.0,63078.0,109729.0,10390.0,5190386.0,38451.0,361765.0,76544.0,11604.0,8827.0,173765.0,5329345.0,132386.0,31300.0,97197.0,1062886.0,10827.0,2257020.0,1301228.0,1416084.0,1098163.0,869938.0,646728.0,1767096.0,2242674.0,1137769.0,6143481.0,711845.0,5710742.0,1164128.0,58849.0,71339.0,161668.0,76981.0,45363.0,16699.0,99429.0,119543.0,12715.0,417406.0,57347.0,698761.0,885833.0,1265821.0,20303.0,33814.0,116629.0,86655.0,436052.0,125386.0,410927.0,28398.0,25094.0,125530.0,237552.0,550586.0,125953.0,52873.0,22441.0,38272.0,10526.0,26819.0,34042.0,100341.0,20787.0,39691.0,220924.0,70667.0,223476.0,106102382.0,69402115.0,28169169.0,9980490.0,3799188.0
False,,,96.09416,4.787,55.05425,5071604,,3,No MS2,1,10840.0,63078.0,109729.0,8904.0,5190386.0,38451.0,361765.0,76544.0,11604.0,8827.0,173765.0,5329345.0,132386.0,31300.0,97197.0,1062886.0,10827.0,2257020.0,1301228.0,1416084.0,1098163.0,869938.0,646728.0,1767096.0,2242674.0,1137769.0,6143481.0,711845.0,5710742.0,1164128.0,58849.0,71339.0,161668.0,76981.0,45363.0,16699.0,99429.0,119543.0,11306.0,417406.0,57347.0,698761.0,885833.0,1265821.0,20303.0,33814.0,116629.0,86655.0,436052.0,125386.0,410927.0,28398.0,25094.0,125530.0,237552.0,550586.0,125953.0,52873.0,22441.0,38272.0,10526.0,26819.0,34042.0,100341.0,20787.0,39691.0,220924.0,70667.0,223476.0,106102382.0,69402115.0,28169169.0,9980490.0,3799188.0
