Carbon #,RT
9,5.08
10,5.37
11,5.78
12,6.4
13,6.98
14,7.52
15,8.03
16,8.51
17,8.96
18,9.36
19,9.73
20,10.06
21,10.36
22,10.65
23,10.91
24,11.16
25,11.39
26,11.62
27,11.83
28,12.04
29,12.24
30,12.45
31,12.68
32,12.93
33,13.2
